Region,Country,Year,"Births per 1,000 population","Deaths per 1,000 population","Net Number of Migrants per 1,000 population",Rate of natural increase (percent),Growth rate (percent),Population,Births,Deaths,Net Number of Migrants,Natural Increase,Population Change
Africa,Algeria,2009,24.1,4.3,-1,1.98,1.88,35268128,848904,151653,-33857,697251,663393
Africa,Algeria,2010,24.7,4.3,-0.9,2.04,1.95,35949869,887962,154584,-33074,733377,700303
Africa,Algeria,2011,24.6,4.3,-1,2.03,1.93,36654293,901329,157980,-34822,743349,708527
Africa,Algeria,2012,24.4,4.3,-0.9,2.01,1.92,37367226,913255,161053,-35125,752202,717077
Africa,Algeria,2013,24.3,4.3,-0.9,1.99,1.9,38087812,923629,164158,-35422,759471,724049
Africa,Algeria,2014,24,4.3,-0.9,1.97,1.88,38813722,931141,167287,-36097,763854,727757
Africa,Algeria,2015,23.7,4.3,-0.9,1.94,1.84,39542166,935963,170427,-36379,765536,729158
Africa,Algeria,2016,23,4.3,-0.9,1.86,1.77,40263711,924052,173537,-36237,750516,714278
Africa,Algeria,2017,22.2,4.3,-0.9,1.79,1.7,40969443,910341,176578,-36463,733763,697300
Africa,Algeria,2018,21.5,4.3,-0.9,1.72,1.63,41657488,895219,179960,-36242,715259,679017
Africa,Algeria,2019,20.7,4.3,-0.9,1.64,1.56,42325923,877840,183271,-36400,694568,658168
Africa,Angola,2009,47,11.5,2.8,3.54,3.82,21803771,1023905,251179,60178,772726,832904
Africa,Angola,2010,46.8,11.2,1.5,3.56,3.72,22640745,1059587,252897,34414,806690,841104
Africa,Angola,2011,46.6,10.9,1.5,3.57,3.72,23498752,1095512,255666,35248,839845,875094
Africa,Angola,2012,46.4,10.6,2.7,3.58,3.86,24406974,1133216,258714,66875,874502,941377
Africa,Angola,2013,46.2,10.3,1.6,3.59,3.75,25352999,1172069,261643,40311,910426,950737
Africa,Angola,2014,46,10.1,0.9,3.6,3.69,26313499,1210684,264451,24208,946233,970442
Africa,Angola,2015,45.4,9.8,0.5,3.56,3.62,27292149,1239064,266644,14465,972419,986884
Africa,Angola,2016,44.8,9.5,0.3,3.53,3.56,28289713,1267662,268469,9053,999193,1008245
Africa,Angola,2017,44.2,9.2,0.2,3.5,3.52,29310273,1296686,270241,6448,1026446,1032894
Africa,Angola,2018,43.7,9,0.1,3.47,3.49,30355880,1326552,272292,3946,1054260,1058206
Africa,Angola,2019,43.2,8.7,0,3.45,3.45,31427266,1357029,274046,1257,1082984,1084241
Africa,Benin,2009,39.2,9.5,0,2.98,2.98,8791832,344816,83083,0,261733,261733
Africa,Benin,2010,38.7,9.2,0,2.94,2.94,9056010,350196,83587,0,266609,266609
Africa,Benin,2011,38.1,9,0,2.91,2.91,9325032,355377,83925,0,271452,271452
Africa,Benin,2012,37.6,8.8,0,2.88,2.88,9598787,360434,84373,0,276061,276061
Africa,Benin,2013,37,8.6,0,2.84,2.84,9877292,365657,84846,0,280811,280811
Africa,Benin,2014,36.5,8.4,0,2.81,2.81,10160556,370962,85247,0,285715,285715
Africa,Benin,2015,36,8.2,0,2.78,2.78,10448647,376360,85783,0,290577,290577
Africa,Benin,2016,35.5,8,0,2.75,2.75,10741458,381429,86254,0,295175,295175
Africa,Benin,2017,35,7.9,0,2.71,2.71,11038805,386358,86765,0,299593,299593
Africa,Benin,2018,34.5,7.7,0,2.68,2.68,11340504,391134,87322,0,303812,303812
Africa,Benin,2019,34,7.6,0,2.64,2.64,11646392,395861,87930,0,307931,307931
Africa,Botswana,2009,25.8,12,3.2,1.39,1.71,1944488,50246,23295,6242,26951,33192
Africa,Botswana,2010,25.3,11.6,3.2,1.37,1.68,1977723,49977,22961,6250,27016,33265
Africa,Botswana,2011,24.7,11.2,3.1,1.35,1.66,2011047,49693,22564,6254,27129,33383
Africa,Botswana,2012,24.3,10.9,3.1,1.34,1.65,2044548,49601,22204,6236,27397,33633
Africa,Botswana,2013,23.8,10.5,3.1,1.32,1.63,2078313,49422,21905,6401,27517,33918
Africa,Botswana,2014,23.3,10.2,3.1,1.3,1.61,2112305,49153,21630,6548,27523,34071
Africa,Botswana,2015,22.8,10,3.1,1.28,1.59,2146408,48831,21400,6697,27431,34128
Africa,Botswana,2016,22.4,9.8,3.1,1.26,1.57,2180597,48889,21348,6694,27541,34235
Africa,Botswana,2017,22.1,9.6,3,1.25,1.55,2214858,48882,21307,6711,27575,34286
Africa,Botswana,2018,21.7,9.5,3,1.22,1.52,2249104,48828,21299,6702,27529,34231
Africa,Botswana,2019,21.3,9.3,2.9,1.2,1.49,2283255,48702,21303,6690,27399,34089
Africa,BurkinaFaso,2009,43.9,11.3,-3.7,3.27,2.9,15185326,667091,171139,-55882,495953,440071
Africa,BurkinaFaso,2010,43.4,11,-3.2,3.24,2.92,15633854,677728,171191,-49716,506537,456821
Africa,BurkinaFaso,2011,42.7,10.7,-2.7,3.21,2.94,16098955,688069,171776,-43145,516293,473148
Africa,BurkinaFaso,2012,42.1,10.4,0.1,3.17,3.18,16599121,698491,172299,996,526192,527188
Africa,BurkinaFaso,2013,41.4,10.1,-2.5,3.13,2.89,17109478,708161,172806,-41918,535356,493437
Africa,BurkinaFaso,2014,40.4,9.8,-1.4,3.06,2.93,17613855,712128,172792,-24131,539336,515205
Africa,BurkinaFaso,2015,39.4,9.5,-1,2.99,2.89,18133363,714999,172630,-18677,542369,523692
Africa,BurkinaFaso,2016,38.7,9.2,-0.9,2.95,2.86,18662035,722034,172064,-16423,549970,533548
Africa,BurkinaFaso,2017,37.9,8.9,-0.7,2.89,2.82,19199732,726902,171646,-13248,555256,542008
Africa,BurkinaFaso,2018,36.9,8.7,-0.7,2.82,2.76,19742715,728506,171169,-13228,557337,544109
Africa,BurkinaFaso,2019,36,8.4,-0.7,2.76,2.69,20288052,730370,170420,-13390,559950,546560
Africa,Burundi,2009,43.8,11.6,0,3.22,3.23,8831095,387067,102352,0,284715,284715
Africa,Burundi,2010,43.5,11.2,0,3.23,3.23,9120944,397126,102155,0,294971,294971
Africa,Burundi,2011,43.3,10.6,0,3.27,3.27,9422208,407793,100158,0,307635,307635
Africa,Burundi,2012,43,10.1,0,3.29,3.29,9735984,418453,98528,0,319924,319924
Africa,Burundi,2013,42.6,9.8,0,3.28,3.28,10060714,428285,98796,0,329488,329488
Africa,Burundi,2014,42.3,9.5,0,3.28,3.28,10395931,440060,99177,0,340883,340883
Africa,Burundi,2015,42,9.3,0,3.27,3.28,10742276,451283,99581,0,351702,351702
Africa,Burundi,2016,41.7,9,0,3.26,3.26,11099298,462619,100338,0,362281,362281
Africa,Burundi,2017,41.3,8.8,0,3.25,3.25,11466756,473806,101137,0,372670,372670
Africa,Burundi,2018,40.9,8.6,0,3.23,3.23,11844520,484796,101981,0,382815,382815
Africa,Burundi,2019,40.6,8.4,0,3.22,3.22,12232823,496530,102756,0,393775,393775
Africa,CaboVerde,2009,22.2,6.5,-0.7,1.57,1.5,501182,11131,3248,-341,7884,7543
Africa,CaboVerde,2010,21.7,6.4,-0.7,1.53,1.46,508659,11023,3261,-341,7762,7421
Africa,CaboVerde,2011,21.5,6.3,-0.7,1.51,1.45,516100,11081,3272,-341,7809,7468
Africa,CaboVerde,2012,21.2,6.3,-0.7,1.49,1.43,523568,11105,3288,-346,7817,7471
Africa,CaboVerde,2013,21,6.2,-0.7,1.47,1.41,531046,11131,3303,-345,7828,7482
Africa,CaboVerde,2014,20.7,6.2,-0.6,1.46,1.39,538535,11158,3323,-345,7836,7491
Africa,CaboVerde,2015,20.3,6.1,-0.6,1.42,1.36,545993,11100,3336,-344,7764,7420
Africa,CaboVerde,2016,20.2,6.1,-0.6,1.41,1.35,553432,11157,3354,-343,7803,7460
Africa,CaboVerde,2017,20,6,-0.6,1.39,1.33,560899,11196,3377,-342,7819,7477
Africa,CaboVerde,2018,19.7,6,-0.6,1.38,1.32,568373,11214,3393,-341,7821,7480
Africa,CaboVerde,2019,19.5,5.9,-0.6,1.36,1.3,575839,11217,3415,-346,7803,7457
Africa,Cameroon,2009,38.9,12,0.9,2.69,2.77,20262861,787820,243762,17831,544058,561889
Africa,Cameroon,2010,38.2,11.7,0.3,2.65,2.68,20822264,795202,243412,5414,551790,557204
Africa,Cameroon,2011,37.8,11.4,-0.2,2.64,2.63,21381571,808223,243108,-3421,565115,561694
Africa,Cameroon,2012,37.5,11,-0.2,2.65,2.63,21950850,822718,242118,-3512,580600,577088
Africa,Cameroon,2013,37.1,10.7,-0.2,2.64,2.62,22534532,835355,241345,-3606,594010,590405
Africa,Cameroon,2014,36.6,10.4,-0.2,2.62,2.6,23130708,846121,240559,-3470,605562,602092
Africa,Cameroon,2015,36.2,10.1,-0.2,2.61,2.59,23739218,858648,240003,-3561,618644,615083
Africa,Cameroon,2016,35.8,9.8,-0.1,2.59,2.58,24360803,870899,239467,-3411,631432,628022
Africa,Cameroon,2017,35.4,9.6,-0.1,2.58,2.56,24994885,883569,239951,-3499,643618,640119
Africa,Cameroon,2018,35,9.4,-0.1,2.56,2.54,25640965,896152,240512,-3590,655639,652050
Africa,Cameroon,2019,34.6,9.2,-0.1,2.54,2.53,26299112,908897,241426,-3419,667471,664053
Africa,CentralAfricanRepublic,2009,37.1,15.6,0,2.15,2.15,4741916,175925,73974,0,101951,101951
Africa,CentralAfricanRepublic,2010,36.8,15.3,0,2.15,2.15,4844927,178245,74127,0,104117,104117
Africa,CentralAfricanRepublic,2011,36.5,15,0,2.15,2.15,4950027,180478,74300,0,106178,106178
Africa,CentralAfricanRepublic,2012,36.1,14.7,0,2.14,2.14,5057208,182717,74392,0,108325,108325
Africa,CentralAfricanRepublic,2013,35.8,14.4,0,2.14,2.14,5166510,184961,74501,0,110460,110460
Africa,CentralAfricanRepublic,2014,35.5,14.1,0,2.13,2.13,5277959,187104,74472,0,112632,112632
Africa,CentralAfricanRepublic,2015,35.1,13.8,0,2.13,2.13,5391539,189135,74403,0,114732,114732
Africa,CentralAfricanRepublic,2016,34.7,13.5,0,2.12,2.12,5507257,191102,74238,0,116864,116864
Africa,CentralAfricanRepublic,2017,34.3,13.2,0,2.12,2.12,5625118,193110,74083,0,119027,119027
Africa,CentralAfricanRepublic,2018,34,12.9,0,2.11,2.11,5745062,195045,73996,0,121048,121048
Africa,CentralAfricanRepublic,2019,33.6,12.6,0,2.1,2.1,5867019,196956,73924,0,123031,123031
Africa,Chad,2009,49.2,13.5,0.6,3.57,3.63,11562994,568784,155754,6822,413030,419852
Africa,Chad,2010,48.6,13.1,0.7,3.55,3.62,11989651,582577,157184,8153,425393,433546
Africa,Chad,2011,48,12.8,2.2,3.52,3.74,12438850,596692,158844,26992,437848,464840
Africa,Chad,2012,47.4,12.4,0.6,3.49,3.55,12900189,610824,160349,7224,450475,457699
Africa,Chad,2013,46.7,12.1,3.7,3.46,3.83,13385494,625236,161964,49660,463272,512932
Africa,Chad,2014,45.9,11.8,1.3,3.41,3.54,13887973,637180,163600,18471,473580,492051
Africa,Chad,2015,45.1,11.5,-3.6,3.36,3.01,14349650,647026,164447,-51228,482579,431350
Africa,Chad,2016,44.3,11.1,1.3,3.32,3.45,14820954,657013,165105,19267,491907,511175
Africa,Chad,2017,43.6,10.8,-0.2,3.28,3.27,15327016,668871,165838,-2299,503033,500734
Africa,Chad,2018,43,10.5,-0.1,3.25,3.23,15833116,680349,166564,-2217,513785,511568
Africa,Chad,2019,42.3,10.2,-0.1,3.21,3.19,16349891,691764,167423,-2289,524341,522052
Africa,Comoros,2009,35.4,9,-2.9,2.65,2.36,690013,24426,6176,-1973,18251,16277
Africa,Comoros,2010,34.1,8.7,-2.8,2.54,2.26,706122,24051,6136,-1977,17914,15937
Africa,Comoros,2011,32.8,8.4,-2.7,2.43,2.16,721886,23642,6085,-1978,17556,15578
Africa,Comoros,2012,31.5,8.2,-2.7,2.33,2.06,737284,23217,6038,-1976,17179,15203
Africa,Comoros,2013,30.3,8,-2.6,2.23,1.97,752288,22764,5996,-1979,16768,14790
Africa,Comoros,2014,29.1,7.8,-2.6,2.13,1.87,766865,22277,5951,-1979,16327,14348
Africa,Comoros,2015,27.8,7.6,-2.5,2.03,1.77,780971,21742,5912,-1976,15830,13854
Africa,Comoros,2016,26.9,7.4,-2.5,1.95,1.71,794678,21409,5881,-1979,15528,13549
Africa,Comoros,2017,26.1,7.2,-2.4,1.88,1.64,808080,21075,5850,-1972,15224,13253
Africa,Comoros,2018,25.3,7.1,-2.4,1.81,1.57,821164,20734,5838,-1979,14896,12917
Africa,Comoros,2019,24.4,7,-2.4,1.74,1.51,833909,20372,5829,-1976,14543,12567
Africa,Congo(Brazzaville),2009,40.6,11.2,21.2,2.94,5.06,4063165,164924,45507,86017,119416,205434
Africa,Congo(Brazzaville),2010,39.7,10.9,5.1,2.88,3.39,4237641,168404,46360,21485,122044,143529
Africa,Congo(Brazzaville),2011,39,10.7,3.7,2.82,3.19,4379194,170570,46989,15984,123581,139565
Africa,Congo(Brazzaville),2012,38.2,10.5,-9.4,2.76,1.83,4489969,171382,47279,-42116,124103,81987
Africa,Congo(Brazzaville),2013,37.4,10.4,-8.2,2.7,1.89,4574099,171026,47342,-37416,123684,86268
Africa,Congo(Brazzaville),2014,36.6,10.2,-7,2.64,1.94,4662446,170599,47417,-32730,123182,90451
Africa,Congo(Brazzaville),2015,35.9,10,-5.9,2.59,2,4755097,170470,47551,-28055,122919,94864
Africa,Congo(Brazzaville),2016,35.1,9.7,-4.8,2.54,2.06,4852412,170320,47165,-23389,123154,99766
Africa,Congo(Brazzaville),2017,34.4,9.5,-3.8,2.49,2.11,4954674,170292,46822,-18729,123470,104742
Africa,Congo(Brazzaville),2018,33.7,9.2,-2.8,2.45,2.17,5062021,170539,46571,-14022,123969,109947
Africa,Congo(Brazzaville),2019,33.1,9,-1.8,2.41,2.23,5174669,171075,46365,-9366,124710,115343
Africa,Congo(Kinshasa),2009,39.1,11.6,-0.7,2.75,2.68,68015710,2659414,789662,-47611,1869752,1822141
Africa,Congo(Kinshasa),2010,38.4,11.3,-0.6,2.71,2.65,69851289,2683687,791415,-43308,1892271,1848964
Africa,Congo(Kinshasa),2011,37.7,11.1,-0.5,2.67,2.61,71712867,2706444,793144,-38725,1913299,1874574
Africa,Congo(Kinshasa),2012,37.1,10.8,-0.5,2.63,2.58,73599190,2726850,794871,-34592,1931979,1897387
Africa,Congo(Kinshasa),2013,36.3,10.5,-0.4,2.58,2.54,75507308,2743936,795847,-30203,1948089,1917886
Africa,Congo(Kinshasa),2014,35.6,10.3,-0.3,2.53,2.5,77433744,2758190,797568,-25553,1960622,1935069
Africa,Congo(Kinshasa),2015,34.9,10.1,-0.3,2.48,2.45,79375136,2768605,799308,-21431,1969297,1947866
Africa,Congo(Kinshasa),2016,34.2,9.9,-0.2,2.44,2.42,81331050,2782335,801111,-17080,1981224,1964145
Africa,Congo(Kinshasa),2017,33.5,9.6,-0.2,2.39,2.37,83301151,2792255,803023,-12495,1989231,1976736
Africa,Congo(Kinshasa),2018,32.8,9.4,-0.1,2.34,2.33,85281024,2797218,805053,-8528,1992165,1983637
Africa,Congo(Kinshasa),2019,32.1,9.3,-0.1,2.28,2.28,87265519,2796860,807206,-4363,1989654,1985291
Africa,Coted'Ivoire,2009,36.5,11.4,0.8,2.51,2.59,21186017,773290,241097,16949,532193,549142
Africa,Coted'Ivoire,2010,34.7,11,0.2,2.37,2.38,21719488,753232,239349,3692,513883,517575
Africa,Coted'Ivoire,2011,34.1,10.6,-4.1,2.35,1.94,22193545,756800,234808,-91659,521992,430333
Africa,Coted'Ivoire,2012,33.5,10.2,2.6,2.33,2.59,22703074,760553,231798,59936,528755,588691
Africa,Coted'Ivoire,2013,32.9,9.9,1.8,2.3,2.49,23286988,766142,229843,42615,536299,578915
Africa,Coted'Ivoire,2014,32.3,9.5,1.8,2.28,2.46,23869982,770762,227720,43921,543042,586963
Africa,Coted'Ivoire,2015,31.7,9.2,1.4,2.24,2.39,24455278,774743,225967,34726,548776,583503
Africa,Coted'Ivoire,2016,31.1,8.9,2.3,2.22,2.45,25054140,780186,223984,57625,556202,613826
Africa,Coted'Ivoire,2017,30.6,8.7,1.3,2.2,2.33,25659816,785704,222214,33871,563490,597361
Africa,Coted'Ivoire,2018,30.1,8.4,1.3,2.17,2.3,26260582,790706,220589,33876,570117,603993
Africa,Coted'Ivoire,2019,29.6,8.2,1.3,2.15,2.27,26867857,795557,218973,33853,576584,610438
Africa,Djibouti,2009,26.3,8.5,3.8,1.78,2.16,724622,19087,6181,2775,12906,15681
Africa,Djibouti,2010,25.6,8.4,4.6,1.72,2.18,740528,18943,6198,3406,12744,16151
Africa,Djibouti,2011,25.3,8.2,5.3,1.7,2.24,757074,19131,6231,4035,12901,16936
Africa,Djibouti,2012,24.9,8.1,6,1.68,2.29,774389,19290,6257,4662,13033,17695
Africa,Djibouti,2013,24.5,8,6,1.65,2.26,792198,19409,6306,4785,13103,17888
Africa,Djibouti,2014,24.1,7.8,6.1,1.62,2.23,810179,19509,6352,4910,13157,18067
Africa,Djibouti,2015,23.7,7.7,6.1,1.59,2.2,828324,19590,6403,5020,13187,18207
Africa,Djibouti,2016,23.6,7.6,5.9,1.59,2.18,846687,19956,6460,4979,13496,18475
Africa,Djibouti,2017,23.4,7.5,5.7,1.59,2.16,865267,20273,6524,4923,13749,18672
Africa,Djibouti,2018,23.3,7.5,5.5,1.58,2.13,884017,20553,6586,4862,13967,18830
Africa,Djibouti,2019,23,7.4,5.3,1.56,2.09,902892,20785,6663,4776,14121,18898
Africa,Egypt,2009,29.4,5.3,-0.8,2.41,2.34,79317792,2334323,422764,-59488,1911559,1852070
Africa,Egypt,2010,30.5,5.2,-0.7,2.52,2.45,81238995,2474540,424880,-59304,2049660,1990355
Africa,Egypt,2011,31.4,5.2,-0.7,2.63,2.56,83298127,2617227,429818,-59142,2187409,2128267
Africa,Egypt,2012,31.4,5.1,-0.7,2.63,2.56,85458032,2684237,434127,-58966,2250110,2191144
Africa,Egypt,2013,31.3,5,-0.7,2.64,2.57,87679255,2746991,436643,-59622,2310348,2250726
Africa,Egypt,2014,31.2,4.9,-0.7,2.63,2.57,89959189,2806727,439001,-59373,2367726,2308353
Africa,Egypt,2015,31,4.8,-0.6,2.62,2.56,92296970,2863052,441180,-55378,2421872,2366494
Africa,Egypt,2016,30.3,4.7,-0.5,2.56,2.51,94666993,2869357,443988,-51120,2425368,2374248
Africa,Egypt,2017,29.6,4.6,-0.5,2.5,2.45,97041072,2869504,447359,-47550,2422145,2374595
Africa,Egypt,2018,28.8,4.5,-0.4,2.43,2.38,99413317,2864098,451336,-43742,2412761,2369019
Africa,Egypt,2019,28,4.5,-0.4,2.36,2.32,101776661,2851782,454942,-39693,2396840,2357147
Africa,EquatorialGuinea,2009,36.5,9.5,0,2.7,2.7,633441,23133,6011,0,17122,17122
Africa,EquatorialGuinea,2010,36,9.3,0,2.67,2.67,650702,23425,6026,0,17400,17400
Africa,EquatorialGuinea,2011,35.4,9,0,2.64,2.64,668225,23675,6034,0,17641,17641
Africa,EquatorialGuinea,2012,34.9,8.8,0,2.61,2.61,685991,23927,6044,0,17884,17884
Africa,EquatorialGuinea,2013,34.4,8.6,0,2.58,2.58,704001,24182,6047,0,18135,18135
Africa,EquatorialGuinea,2014,33.8,8.4,0,2.54,2.54,722254,24434,6060,0,18374,18374
Africa,EquatorialGuinea,2015,33.3,8.2,0,2.51,2.51,740743,24674,6067,0,18607,18607
Africa,EquatorialGuinea,2016,32.8,8,0,2.48,2.48,759451,24887,6076,0,18812,18812
Africa,EquatorialGuinea,2017,32.2,7.8,0,2.44,2.44,778358,25086,6079,0,19008,19008
Africa,EquatorialGuinea,2018,31.7,7.6,0,2.41,2.41,797457,25279,6085,0,19195,19195
Africa,EquatorialGuinea,2019,31.2,7.5,0,2.37,2.37,816736,25458,6093,0,19365,19365
Africa,Eritrea,2009,35.3,8.4,-5,2.69,2.2,5243580,185256,44151,-26061,141105,115044
Africa,Eritrea,2010,34.6,8.3,-2.7,2.64,2.37,5364704,185780,44312,-14324,141467,127143
Africa,Eritrea,2011,33.9,8.1,-6.4,2.58,1.94,5481467,185877,44235,-35301,141641,106340
Africa,Eritrea,2012,33.2,7.9,-8.3,2.53,1.7,5582115,185326,44043,-46332,141283,94952
Africa,Eritrea,2013,32.4,7.7,-6.4,2.47,1.83,5681550,184253,43862,-36419,140391,103972
Africa,Eritrea,2014,31.6,7.6,-12.5,2.41,1.16,5766838,182290,43597,-72028,138692,66665
Africa,Eritrea,2015,30.8,7.4,-15.5,2.34,0.79,5823083,179176,43207,-90141,135969,45828
Africa,Eritrea,2016,30.1,7.3,-14.7,2.28,0.81,5869869,176800,42850,-86228,133950,47722
Africa,Eritrea,2017,29.6,7.2,-13.9,2.24,0.85,5918919,175200,42498,-82332,132702,50370
Africa,Eritrea,2018,29.1,7.1,-13.1,2.2,0.89,5970646,173746,42272,-78395,131474,53079
Africa,Eritrea,2019,28.5,7,-12.4,2.16,0.92,6024854,171889,42053,-74467,129836,55368
Africa,Eswatini,2009,31.7,14.8,-15.7,1.69,0.12,1017183,32255,15044,-15990,17211,1221
Africa,Eswatini,2010,30.8,14.7,-12.9,1.61,0.32,1019398,31377,15016,-13150,16361,3211
Africa,Eswatini,2011,30.3,14.1,-10.1,1.62,0.62,1024153,30991,14389,-10303,16602,6299
Africa,Eswatini,2012,29.6,13.4,-7.2,1.62,0.9,1031925,30566,13869,-7450,16697,9246
Africa,Eswatini,2013,29,12.9,-7.2,1.61,0.9,1041209,30153,13380,-7455,16774,9319
